flat_type,price,address,buildup_area,which_floor,furnishing,bedrooms,balcony
3 BHK Flat,3.95,Kanjurmarg West,1550,middle,Fully Furnished,3.0,1.0
1 BHK Flat,0.19,Palghar,630,lower,Unfurnished,1.0,2.0
1 BHK Flat,0.73,Mira Road East,580,middle,Semi Furnished,1.0,2.0
1 BHK Flat,1.1,Dahisar East,410,middle,Semi Furnished,1.0,1.0
3 BHK Flat,2.25,others,1052,middle,Semi Furnished,3.0,3.0
3 BHK Flat,2.75,others,841,lower,Unfurnished,3.0,0.0
2 BHK Flat,2.1,Kanjurmarg East,1150,middle,Semi Furnished,2.0,0.0
2 BHK Flat,2.1,Kanjurmarg West,1200,middle,Semi Furnished,2.0,0.0
3 BHK Flat,7.5,Byculla,2271,middle,Unfurnished,3.0,1.0
1 BHK Flat,1.0,Kurla West,505,lower,Semi Furnished,1.0,0.0
2 BHK Flat,2.1,Mulund West,805,middle,Unfurnished,2.0,1.0
2 BHK Flat,2.2,Mulund West,999,lower,Semi Furnished,2.0,0.0
3 BHK Flat,5.4,Sion,1100,middle,Semi Furnished,3.0,2.0
3 BHK Flat,4.45,Mulund West,1351,higher,Unfurnished,3.0,0.0
3 BHK Flat,5.24,Mulund West,2450,higher,Semi Furnished,3.0,1.0
2 BHK Flat,2.8,Powai,1200,middle,Unfurnished,2.0,0.0
1 BHK Flat,1.2,Kanjurmarg West,489,middle,Semi Furnished,1.0,0.0
2 BHK Flat,2.04,Mulund West,778,higher,Unfurnished,2.0,1.0
2 BHK Flat,2.25,Mulund West,1044,lower,Semi Furnished,2.0,0.0
4 BHK Flat,11.0,Lower Parel,2259,middle,Unfurnished,4.0,3.0
1 BHK Flat,0.66,Mira Road East,550,lower,Semi Furnished,1.0,1.0
2 BHK Flat,2.38,Borivali East,890,middle,Unfurnished,2.0,2.0
3 BHK Flat,2.15,Malad West,1300,middle,Unfurnished,3.0,0.0
2 BHK Flat,2.0,Mulund West,796,middle,Semi Furnished,2.0,1.0
1 BHK Flat,0.38,Virar West,650,lower,Semi Furnished,1.0,2.0
4 BHK Flat,3.85,Mulund West,1325,middle,Semi Furnished,4.0,1.0
1 BHK Flat,0.72,Mira Road East,740,lower,Semi Furnished,1.0,3.0
3 BHK Flat,6.8,Byculla,1420,higher,Unfurnished,3.0,0.0
1 BHK Flat,0.6,Mira Road East,715,lower,Semi Furnished,1.0,3.0
3 BHK Flat,4.2,Goregaon West,1200,middle,Semi Furnished,3.0,2.0
2 BHK Flat,2.5,Powai,868,middle,Unfurnished,2.0,0.0
2 BHK Flat,1.52,Kanjurmarg East,750,middle,Semi Furnished,2.0,0.0
4 BHK Flat,7.2,Sion,2670,middle,Semi Furnished,4.0,4.0
2 BHK Flat,1.3,Mira Road East,932,lower,Semi Furnished,2.0,3.0
2 BHK Flat,1.35,Mira Road East,1188,middle,Semi Furnished,2.0,2.0
3 BHK Flat,6.5,Byculla,1550,higher,Unfurnished,3.0,0.0
1 BHK Flat,0.32,Naigaon East,610,middle,Unfurnished,1.0,2.0
1 BHK Flat,0.4,Vasai East,685,middle,Unfurnished,1.0,1.0
2 BHK Flat,2.4,Andheri West,935,lower,Unfurnished,2.0,0.0
1 BHK Flat,0.95,Vikhroli East,388,middle,Unfurnished,1.0,0.0
3 BHK Flat,3.6,Powai,1200,middle,Fully Furnished,3.0,0.0
4 BHK Flat,8.74,Powai,2500,middle,Semi Furnished,4.0,2.0
2 BHK Flat,1.04,Mira Road East,825,lower,Semi Furnished,2.0,3.0
2 BHK Flat,2.65,Borivali West,1025,middle,Fully Furnished,2.0,0.0
2 BHK Flat,2.1,Goregaon East,860,middle,Unfurnished,2.0,0.0
3 BHK Flat,5.22,Dadar East,1425,middle,Semi Furnished,3.0,3.0
1 BHK Flat,0.3,Virar West,650,lower,Semi Furnished,1.0,2.0
3 BHK Flat,4.3,Borivali East,1520,higher,Unfurnished,3.0,0.0
1 BHK Flat,2.25,Dadar West,550,middle,Fully Furnished,2.0,0.0
1 BHK Flat,1.1,Wadala East,463,middle,Unfurnished,1.0,0.0
3 BHK Flat,2.6,Borivali West,1200,lower,Unfurnished,3.0,0.0
2 BHK Flat,2.7,Govandi,1200,lower,Semi Furnished,2.0,1.0
3 BHK Flat,3.56,Kanjurmarg East,1437,middle,Semi Furnished,3.0,1.0
3 BHK Flat,5.75,Powai,2400,lower,Unfurnished,3.0,2.0
2 BHK Flat,0.26,others,790,lower,Semi Furnished,2.0,2.0
1 BHK Flat,1.45,Mulund East,560,middle,Fully Furnished,1.0,0.0
4 BHK Flat,9.39,Andheri West,3300,middle,Semi Furnished,4.0,2.0
2 BHK Flat,2.7,Powai,1000,lower,Unfurnished,2.0,0.0
1 BHK Flat,1.65,Santacruz East,600,lower,Unfurnished,2.0,0.0
